名称,地址,电话,经纬度,城市
叉车培训六安驾校(庙江路),金桥经济开发区唐陆路390号,13917524911,"121.626321,31.253750",上海
上海裕华辰叉车电焊职业技能培训中心,香大路1513号,18121342896,"121.093285,31.208962",上海
上海偲旻叉车培训模拟考试训练场,安亭镇嘉松北路3939号,13918666984,"121.213834,31.323004",上海
康桥叉车培训,康桥镇秀浦路营房村322号,15216687970,"121.573190,31.127605",上海
慕华劳务叉车培训,南汇新城镇老芦公路交叉口江山路2111号,15121169389;18217498208,"121.850575,30.869175",上海
叉车培训,亭枫公路1961号,13651797767,"121.242057,30.894858",上海
纪强叉车培训报名处,泰和西路泰和西路3493弄-南区,13061671719,"121.404102,31.348783",上海
叉车培训,新川沙路1115号,13671961702;15902109903,"121.325416,31.464140",上海
精英叉车培训,市中路71号,13524806198,"121.336729,30.844304",上海
叉车培训办证审证(小管叉车),三三公路1777号,15221362984,"121.814758,30.972921",上海
上海精英叉车培训,沪杭公路2195号,13524806198;13761270550,"121.443130,30.902783",上海
叉车培训服务部(奉贤店),平庄东路910号,13564214283;18721386524,"121.757823,30.907550",上海
佳鹏叉车专业培训办证,马五公路与泥城路交叉口北100米,13918318851,"121.797194,30.897387",上海
叉车电焊培训,练塘镇小蒸社区志喜路103号,暂无电话,"121.078268,30.990748",上海
叉车培训(宝山店),蕴川路5596号,13248078555,"121.405181,31.452900",上海
龙工叉车销售出租叉车培训(青浦店),外青松公路与白石公路交叉口西北60米,暂无电话,"121.139075,31.247825",上海
荣盛叉车培训部,高东镇赵高公路1022号10,暂无电话,"121.631968,31.309168",上海
上海风旸叉车培训中心,南芦公路1190号,15221362984,"121.765191,30.951747",上海
上海华权叉车培训,[],021-34710739;13564930714,"121.418122,31.003761",上海
枫泾叉车吊车培训,王圩东路5049号,暂无电话,"121.054319,30.887823",上海
叉车培训,丰登路西仓301号,13564226898,"121.280831,31.354789",上海
叉车培训报名处,板桥西路2151号老西门花苑,15900800664,"121.307647,30.725306",上海
上海青浦区叉车培训中心,五友路500号,13764892087,"121.388704,30.794954",上海
叉车培训咨询报名处,民雷路997号,暂无电话,"121.669676,31.266030",上海
上海珊伊伍叉车技术服务有限公司,新灵路118号516室,021-50484858;021-50484859;13817931588,"121.610082,31.317427",上海
